//X Y Z R G B
94448
0.70261371 0.11973803 2.50435328 142 142 141
0.70650947 0.11963259 2.50214815 130 130 129
0.71039838 0.11952735 2.49994683 130 130 129
0.71428090 0.11942235 2.49775100 129 129 129
0.71815616 0.11931749 2.49555755 128 128 128
0.72202456 0.11921278 2.49336767 140 140 140
0.72588676 0.11910835 2.49118352 140 140 140
0.73894316 0.12050458 2.52038598 153 153 153
-0.57758069 0.12457623 2.51079845 146 146 146
-0.57165003 0.12427175 2.50466180 103 103 103
-0.56604469 0.12403369 2.49986386 97 97 97
-0.56064433 0.12383710 2.49590158 92 92 92
-0.55546021 0.12368547 2.49284554 86 86 85
-0.55058938 0.12360170 2.49115705 82 82 82
-0.54580665 0.12353648 2.48984265 82 82 82
-0.54125351 0.12352258 2.48956251 78 78 78
-0.53670138 0.12350868 2.48928237 85 85 85
-0.53215027 0.12349479 2.48900247 81 81 81
-0.52760023 0.12348090 2.48872256 84 84 84
-0.52305120 0.12346701 2.48844266 86 86 86
-0.51850313 0.12345313 2.48816276 83 83 83
-0.51395619 0.12343925 2.48788309 82 82 82
-0.50941020 0.12342538 2.48760343 83 83 83
-0.50486523 0.12341150 2.48732376 84 84 83
-0.50032127 0.12339763 2.48704410 86 86 85
-0.49577838 0.12338376 2.48676467 80 80 80
-0.49123651 0.12336989 2.48648524 83 83 82
-0.48669568 0.12335604 2.48620605 80 80 80
-0.48215580 0.12334218 2.48592663 79 79 79
-0.47761700 0.12332833 2.48564744 79 79 79
-0.47307912 0.12331446 2.48536801 79 79 79
-0.46854237 0.12330063 2.48508906 85 85 85
-0.46400663 0.12328678 2.48481011 85 85 85
-0.45947182 0.12327293 2.48453093 82 82 82
-0.45493811 0.12325909 2.48425198 78 78 78
-0.45040536 0.12324525 2.48397303 80 81 80
-0.44587368 0.12323142 2.48369431 81 81 81
-0.44134301 0.12321759 2.48341560 79 79 79
-0.43681335 0.12320376 2.48313689 80 80 80
-0.43228468 0.12318993 2.48285818 77 77 77
