//X Y Z R G B
60800
0.12959588 0.13782419 2.28028965 116 116 116
0.13147564 0.13552105 2.24218440 119 119 119
0.13334829 0.13334829 2.20623612 122 122 122
0.13516183 0.13124409 2.17142248 125 125 124
0.13691901 0.12920527 2.13769031 128 128 128
0.13862245 0.12722883 2.10499024 129 129 129
0.14027455 0.12531194 2.07327557 131 131 131
0.14262325 0.12410075 2.05323648 133 133 133
0.14599569 0.12381913 2.04857707 135 135 135
0.14944705 0.12361670 2.04522800 137 137 137
0.15288715 0.12341493 2.04188967 140 140 140
0.15632193 0.12321846 2.03863907 142 142 142
0.15978710 0.12305444 2.03592539 141 141 141
0.16324307 0.12289085 2.03321886 139 139 139
0.16690858 0.12288874 2.03318381 138 138 137
0.17058030 0.12289119 2.03322434 138 138 137
0.17425218 0.12289365 2.03326511 137 137 137
0.17792420 0.12289610 2.03330564 137 137 137
0.18159638 0.12289856 2.03334641 136 136 136
0.18526869 0.12290101 2.03338695 137 137 137
0.18894114 0.12290346 2.03342748 137 137 137
0.19261377 0.12290592 2.03346825 136 136 136
0.19628651 0.12290838 2.03350878 135 135 135
0.19995943 0.12291084 2.03354955 135 135 135
0.20363246 0.12291329 2.03359008 135 135 135
0.20730567 0.12291575 2.03363085 135 135 134
0.21097900 0.12291820 2.03367138 133 133 133
0.21465248 0.12292065 2.03371191 132 132 131
0.21832614 0.12292312 2.03375268 132 132 131
0.22199993 0.12292558 2.03379345 131 131 130
0.22567385 0.12292803 2.03383398 130 130 129
0.22934794 0.12293050 2.03387475 130 130 129
0.23302218 0.12293296 2.03391552 129 129 128
0.23669654 0.12293541 2.03395605 128 128 128
0.24037106 0.12293787 2.03399682 127 127 127
0.24404572 0.12294032 2.03403735 126 126 126
0.24772054 0.12294279 2.03407812 126 126 126
0.25139552 0.12294525 2.03411889 125 126 125
0.25541845 0.12311537 2.03693342 121 121 121
0.25952649 0.12332110 2.04033732 113 113 113
0.26376531 0.12358235 2.04465961 105 105 104
0.26802209 0.12384469 2.04900002 96 96 95
0.27248499 0.12419384 2.05477667 133 133 133
0.11688481 0.17159684 2.75676394 97 97 97
0.11566152 0.16287030 2.61656904 92 92 92
0.11738882 0.15882018 2.55150223 92 92 92
0.11929046 0.15530267 2.49499226 95 95 95
0.12134030 0.15222692 2.44557929 98 98 98
0.12331053 0.14927064 2.39808559 101 101 101
0.12520571 0.14642702 2.35240173 104 104 104
0.12703001 0.14368969 2.30842566 109 109 109
0.12881705 0.14108534 2.26658583 112 112 112
0.13075282 0.13879915 2.22985721 116 116 116
0.13262685 0.13658586 2.19430017 118 118 118
0.13444205 0.13444205 2.15985894 122 122 121
0.13620116 0.13236450 2.12648249 125 125 125
0.13791442 0.13035746 2.09423876 127 127 127
0.13960646 0.12843795 2.06340098 129 129 129
0.14210445 0.12734035 2.04576778 130 130 130
0.14515129 0.12677771 2.03672862 131 131 131
0.14857851 0.12656689 2.03334165 136 136 136
0.15200819 0.12636825 2.03015065 137 137 137
0.15546468 0.12620074 2.02745938 138 138 138
0.15891200 0.12603366 2.02477527 138 138 138
0.16235022 0.12586702 2.02209830 135 135 134
0.16590808 0.12579843 2.02099633 133 133 133
0.16955778 0.12580092 2.02103639 132 132 132
0.17320763 0.12580344 2.02107668 130 130 130
0.17685761 0.12580593 2.02111673 130 130 130
0.18050776 0.12580843 2.02115703 132 132 131
0.18415803 0.12581094 2.02119708 132 132 132
0.18780847 0.12581344 2.02123737 132 132 132
0.19145903 0.12581593 2.02127743 133 133 133
0.19510975 0.12581845 2.02131772 132 132 132
0.19876063 0.12582095 2.02135801 130 130 130
0.20241162 0.12582344 2.02139807 129 129 129
0.20606279 0.12582596 2.02143836 128 128 128
0.20971407 0.12582844 2.02147841 126 126 126
0.21336550 0.12583093 2.02151847 126 126 125
0.21701710 0.12583345 2.02155876 124 124 124
0.22066882 0.12583594 2.02159882 122 122 122
0.22432071 0.12583844 2.02163911 124 124 124
0.22797275 0.12584095 2.02167940 121 121 121
0.23162490 0.12584345 2.02171946 122 122 122
0.23527722 0.12584595 2.02175975 122 122 122
0.23892966 0.12584844 2.02179980 122 122 121
0.24258228 0.12585096 2.02184010 121 121 121
0.24623504 0.12585346 2.02188039 120 120 120
0.24988791 0.12585595 2.02192044 120 120 120
0.25372732 0.12595096 2.02344680 117 117 117
0.25780225 0.12615854 2.02678156 111 111 111
0.26189065 0.12636681 2.03012753 104 104 104
0.26604638 0.12660138 2.03389597 96 96 96
0.27047142 0.12695597 2.03959250 88 88 88
0.11685109 0.17651974 2.75596881 97 97 97
0.11566961 0.16760290 2.61675191 91 91 91
0.11739682 0.16343479 2.55167603 92 92 92
0.11904021 0.15946896 2.48975825 93 93 93
0.12060573 0.15569103 2.43077421 94 94 94
0.12250175 0.15258990 2.38235688 96 96 96
0.12440003 0.14970174 2.33726454 100 100 100
0.12622778 0.14692087 2.29384732 104 104 104
0.12810117 0.14436799 2.25398970 108 108 108
0.13003789 0.14204139 2.21766496 111 111 111
0.13191319 0.13978860 2.18249249 115 115 114
0.13374491 0.13762157 2.14865923 119 119 119
0.13554321 0.13554321 2.11621022 122 122 122
0.13728803 0.13352671 2.08472705 124 124 124
0.13898169 0.13156934 2.05416679 126 126 125
0.14190789 0.13085014 2.04293799 128 128 128
0.14495139 0.13027276 2.03392363 130 130 130
0.14798090 0.12971166 2.02516317 130 130 130
0.15147077 0.12957138 2.02297306 134 134 134
0.15499884 0.12946962 2.02138424 139 139 139
0.15852135 0.12936801 2.01979780 133 133 133
0.16203836 0.12926656 2.01821399 132 132 131
0.16561301 0.12921454 2.01740193 132 132 132
0.16925696 0.12921768 2.01745081 131 131 131
0.17290109 0.12922083 2.01749992 122 122 122
0.17654540 0.12922396 2.01754880 124 124 124
0.18018988 0.12922709 2.01759768 132 132 132
0.18383455 0.12923023 2.01764679 129 129 128
0.18747938 0.12923336 2.01769567 131 131 131
0.19112441 0.12923650 2.01774478 133 133 133
0.19476959 0.12923963 2.01779366 129 129 129
0.19841495 0.12924276 2.01784253 130 130 130
